scenario,controller,speed_error,current,switches,feedback,fallback,failures,safety_worst
start_no_load,protected_ai_pwm_h1_baseline,83.95663787104598,1.1479406671507644,19.0,0.9833333333333333,0.0,0,0.0
start_no_load,fcs_mpc_one_step_baseline,83.88886817417662,2.0565076724291234,11.333333333333334,1.0,0.0,0,0.0
start_no_load,foc_svm_key_baseline,83.70108224722772,1.4604333830369347,22.0,1.0,0.0,0,0.0
start_no_load,dtc_hysteresis_baseline,84.03749691242487,0.2968337982043026,72.33333333333333,1.0,0.0,0,0.0
start_no_load,dtc_svm_baseline,84.03760348352696,0.7814765812506256,8.666666666666666,1.0,0.0,0,0.0
start_no_load,deadbeat_current_baseline,83.99934125956376,0.4755949031820598,5.0,1.0,0.0,0,0.0
start_no_load,sensorless_adaptive_foc_baseline,84.03760348352696,1.21271436210668,10.0,0.9333333333333332,0.0,0,0.0
start_no_load,safe_neural_horizon_pwm_h2,84.00969075727026,1.3561759172463226,27.333333333333332,0.9833333333333333,0.0,0,0.0
start_no_load,safe_neural_horizon_pwm_h3_thermal,84.01600994947616,1.1718939904999681,32.0,0.9833333333333333,0.0,0,0.0
start_no_load,safe_neural_horizon_pwm_h4_sparse,83.87597935052861,2.443587816280095,20.333333333333332,0.8833333333333333,7.666666666666667,0,0.0
start_with_load,protected_ai_pwm_h1_baseline,84.1104618138623,1.1890688842095942,25.0,0.9833333333333333,0.0,0,0.0
start_with_load,fcs_mpc_one_step_baseline,84.0100667329594,2.207282554533416,9.666666666666666,1.0,0.0,0,0.0
start_with_load,foc_svm_key_baseline,84.03668846138864,1.5350297835818214,21.333333333333332,1.0,0.0,0,0.0
start_with_load,dtc_hysteresis_baseline,84.14083455237248,0.298049505374888,72.33333333333333,1.0,0.0,0,0.0
start_with_load,dtc_svm_baseline,84.10310578170309,0.8965176532192429,9.333333333333334,1.0,0.0,0,0.0
start_with_load,deadbeat_current_baseline,84.14630641948621,0.45689307810871266,5.333333333333333,1.0,0.0,0,0.0
start_with_load,sensorless_adaptive_foc_baseline,85.03303605795979,1.1656348057173382,10.0,0.9333333333333332,0.0,0,0.0
start_with_load,safe_neural_horizon_pwm_h2,84.2158869748279,1.2021119461848475,27.0,0.9833333333333333,0.0,0,0.0
start_with_load,safe_neural_horizon_pwm_h3_thermal,84.08542570853422,1.3239592257779675,30.666666666666668,0.9833333333333333,0.0,0,0.0
start_with_load,safe_neural_horizon_pwm_h4_sparse,84.00986732108443,2.489060185779987,16.333333333333332,0.8833333333333333,10.333333333333334,0,0.0
ramp_to_rated,protected_ai_pwm_h1_baseline,92.07750434617746,1.2616071840935845,26.333333333333332,0.9666666666666667,0.0,0,0.0
ramp_to_rated,fcs_mpc_one_step_baseline,92.01226304078648,1.8966299879352553,13.0,1.0,0.0,0,0.0
ramp_to_rated,foc_svm_key_baseline,92.00414223789107,1.3691625597380055,18.666666666666668,1.0,0.0,0,0.0
ramp_to_rated,dtc_hysteresis_baseline,92.23407190168905,0.301500093060989,72.0,1.0,0.0,0,0.0
ramp_to_rated,dtc_svm_baseline,92.18781891878211,1.0999395992960415,10.0,1.0,0.0,0,0.0
ramp_to_rated,deadbeat_current_baseline,92.18620080298503,0.3951438432227394,5.333333333333333,1.0,0.0,0,0.0
