Net,Ref,Pin,Domain,Component
HOT_12V,U_BUCK12,OUT,HOT,"15V to 12V, >=2A"
HOT_12V,K1,COIL_PLUS,HV,"TE Mini K HV 2-1904058-5, 12V coil, 400VDC/20A"
HOT_12V,D_K1,K,HOT,SS14
HOT_12V,J_FAN,V12,HOT,4-PIN PWM FAN; 3-PIN = FULL SPEED
HOT_12V,C_FAN_BULK,PLUS,HOT,100uF 25V
HOT_12V,C_FAN_HF,1,HOT,100nF 25V
HOT_15V,JP_HOT15_SRC,COMMON,HOT,ONBOARD/EXTERNAL 15V SELECT
HOT_15V,U_BUCK12,IN,HOT,"15V to 12V, >=2A"
HOT_15V,U_BUCK5,IN,HOT,"15V to 5V, >=1A"
HOT_15V,U_BUCK3V3,IN,HOT,"15V to 3.3V, >=1A"
HOT_15V,J_STEVAL_J4,PLUS,HOT,STEVAL J4 AUX
HOT_3V3,U_BUCK3V3,OUT,HOT,"15V to 3.3V, >=1A"
HOT_3V3,U_BP,3V3,HOT,Blue Pill STM32F103C8T6
HOT_3V3,J_STEVAL_J2,P28,HOT,STEVAL-IPM15B J2
HOT_3V3,J_STEVAL_J2,P29,HOT,STEVAL-IPM15B J2
HOT_3V3,U_UART_ISO,VCC_HOT,BARRIER,ISO7721DWR reinforced 1/1 UART isolator
HOT_3V3,C_UART_HOT,1,HOT,100nF
HOT_3V3,U_LA1,VCC_HOT,BARRIER,ISO7740FDWR reinforced 4/0 monitor
HOT_3V3,U_LA2,VCC_HOT,BARRIER,ISO7740FDWR reinforced 4/0 monitor
HOT_3V3,C_LA1_HOT,1,HOT,100nF
HOT_3V3,C_LA2_HOT,1,HOT,100nF
HOT_3V3,R_ESTOP_PULL,1,HOT,10K
HOT_3V3,U_ESTOP_INV,VCC,HOT,SN74LVC1G14DBVR
HOT_3V3,U_ESTOP_AND,VCC,HOT,SN74LVC1G08DBVR
HOT_3V3,C_ESTOP_INV,1,HOT,100nF
HOT_3V3,C_ESTOP_AND,1,HOT,100nF
HOT_3V3,R_TACH_PU,1,HOT,10K
HOT_3V3,J_AS5600,VCC,HOT,AS5600 I2C
HOT_3V3,R_SCL_PU,1,HOT,4.7K DNP if module fitted
HOT_3V3,R_SDA_PU,1,HOT,4.7K DNP if module fitted
HOT_3V3,J_SWD,VREF,HOT,HOT SWD - HV OFF ONLY
HOT_5V,U_BUCK5,OUT,HOT,"15V to 5V, >=1A"
HOT_5V,J_STEVAL_J2,P25,HOT,STEVAL-IPM15B J2
HV_DC_MINUS_HOT_GND,BR1,MINUS,HV,KBPC5010
HV_DC_MINUS_HOT_GND,C_HV,MINUS,HV,"220uF 450V, optional if STEVAL C1 fitted"
HV_DC_MINUS_HOT_GND,RB4,2,HV,100K 0.5W HV-rated
HV_DC_MINUS_HOT_GND,J_J7,MINUS,HV,TO STEVAL J7
HV_DC_MINUS_HOT_GND,PS1,GND_OUT,BARRIER,HLK-20M15
HV_DC_MINUS_HOT_GND,J_HOT15_EXT,RETURN,HOT,ISOLATED 15V BENCH INPUT - HV OFF
HV_DC_MINUS_HOT_GND,U_BUCK12,GND,HOT,"15V to 12V, >=2A"
HV_DC_MINUS_HOT_GND,U_BUCK5,GND,HOT,"15V to 5V, >=1A"
